timestamp,F,P,H,heat_demand,heat_satisfaction,PHR,eta_e,eta_h,profit,revenue_elec,revenue_heat,fuel_cost,boiler_fuel,SMP
108,187.6194103022691,27.730794871590195,126.0,126.0,1.0,0.22008567358404918,0.1478034432946665,0.6715723058557984,-14617136.032480242,3152.7140689510893,5670000.0,20290288.746549193,0.0,113.69
109,184.6413244244553,26.717393320367574,124.0,124.0,1.0,0.21546284935780305,0.14469888256948032,0.6715723058557984,-14385238.475764722,2982.1954424194287,5579999.999999999,19968220.67120714,0.0,111.62
110,186.1303673633622,27.449294866498047,125.0,125.0,1.0,0.21959435893198437,0.14747348998087859,0.6715723058557984,-14501140.03738967,3114.6714885015335,5625000.0,20129254.70887817,0.0,113.47
111,177.1961097299208,26.248661600097563,119.0,119.0,1.0,0.220576988236114,0.1481333966084544,0.6715723058557984,-13805060.49780915,2989.9850428671134,5354999.999999999,19163050.482852016,0.0,113.91
112,175.70706679101392,26.265255593903643,118.0,118.0,1.0,0.22258691181274273,0.1494832056194049,0.6715723058557984,-13689000.931186255,3015.513994736077,5310000.0,19002016.44518099,0.0,114.81
113,159.32759446303805,23.81679956396347,107.0,107.0,1.0,0.22258691181274273,0.14948320561940487,0.6715723058557984,-12412907.624041773,2734.406757938646,4815000.0,17230642.030799713,0.0,114.81
114,157.83855152413113,23.594212652150727,106.0,106.0,1.0,0.22258691181274273,0.1494832056194049,0.6715723058557984,-12296899.141574096,2708.851554593425,4769999.999999999,17069607.993128687,0.0,114.81
115,156.34950858522424,23.437283243841193,105.0,105.0,1.0,0.22321222136991611,0.1499031462005895,0.6715723058557984,-12180876.558529127,2697.396928533683,4725000.0,16908573.95545766,0.0,115.09
116,148.90429389068976,22.035366339426634,100.0,100.0,1.0,0.22035366339426635,0.1479834178294599,0.6715723058557984,-11600895.922059443,2507.8450430901453,4500000.0,16103403.767102534,0.0,113.81
117,147.41525095178287,21.815012676032367,99.0,99.0,1.0,0.22035366339426635,0.14798341782945987,0.6715723058557984,-11484886.96283885,2482.7665926592435,4455000.0,15942369.72943151,0.0,113.81
118,141.45907919615527,20.390472007081843,95.0,95.0,1.0,0.21463654744296679,0.14414396108720068,0.6715723058557984,-11020965.13873662,2268.440010787855,4275000.0,15298233.578747408,0.0,111.25
119,132.5248215627139,18.450722844102412,89.0,89.0,1.0,0.2073114926303642,0.139224657136181,0.6715723058557984,-10325037.22817578,1992.1245454777375,4005000.0,14332029.352721257,0.0,107.97
120,83.38640457878627,11.606942349071703,56.0,56.0,1.0,0.2072668276619947,0.13919466138038217,0.6715723058557984,-6496653.140150838,1252.9694265822905,2520000.0,9017906.10957742,0.0,107.95
121,82.07625,11.129143127894853,55.12013646849697,53.0,1.0,0.20190703145765135,0.13559517068451413,0.6715723058557984,-6394637.310360488,1174.6810571493018,2480406.1410823637,8876218.1325,0.0,105.55
122,82.07625,10.879256303978071,55.12013646849697,47.0,1.0,0.19737353716814426,0.13255060147092576,0.6715723058557984,-6394685.770805049,1126.22061258781,2480406.1410823637,8876218.1325,0.0,103.52
123,82.07625,10.708151532921752,55.12013646849697,45.0,1.0,0.19426932186646206,0.1304658964429022,0.6715723058557984,-6394718.3679015795,1093.6235160572985,2480406.1410823637,8876218.1325,0.0,102.13
124,82.07625,10.698303776314194,55.12013646849697,46.0,1.0,0.19409066199298394,0.1303459134197066,0.6715723058557984,-6394720.229517264,1091.7619003728635,2480406.1410823637,8876218.1325,0.0,102.05
125,82.07625,10.695841837162305,55.12013646849697,46.0,1.0,0.19404599702461445,0.1303159176639077,0.6715723058557984,-6394720.694674991,1091.29674264567,2480406.1410823637,8876218.1325,0.0,102.03
